customerID,name,age,gender,city,email,phone,joinDate
C0001,Gabrielle Payne,36,M,Hodgemouth,katie64@example.com,672-464-3071x4493,2021-04-04
C0002,Andrew Harmon,30,F,Port Tonyaburgh,danielselizabeth@example.net,453.692.9532,2017-05-29
C0003,Brenda Gray,79,M,West Jacob,osmith@example.org,696.220.1766x10246,2024-08-25
C0004,Antonio Kelly,42,F,East Brendaton,gloria85@example.com,001-263-706-5602x36943,2021-07-20
C0005,Robert Clark,51,F,Port Chadmouth,kyle90@example.org,314-768-0428x33033,2017-10-14
C0006,Suzanne Cobb,24,F,Rodriguezland,dwilliams@example.com,(877)664-1766x6904,2020-07-23
C0007,Jane Johnson,23,F,Jeffreybury,tbell@example.org,001-609-393-2514x232,2023-04-20
C0008,Samuel Wilson,47,M,Campbellport,jsimon@example.org,569-441-5887,2021-02-23
C0009,Corey Silva,46,M,North Regina,pwilliams@example.com,+1-546-647-1326x096,2025-01-12
C0010,Ashley Silva,36,F,Port Bradley,rodriguezsarah@example.net,288.909.3471,2019-04-22
C0011,Dustin Hammond,52,M,North Christinastad,amiller@example.com,972.831.1327x269,2023-06-28
C0012,Jessica Braun,74,M,Shafferview,erikarobbins@example.org,915-892-0214,2022-07-26
C0013,Ana Roberts,40,M,Guerreroland,raymond19@example.org,647.350.8307x289,2022-01-10
C0014,Carl Marquez,63,M,New Bryanburgh,robert84@example.com,961-286-0866x125,2023-07-09
C0015,Jeanette Humphrey,33,M,East April,tiffany90@example.com,(492)429-6207x6278,2024-10-25
C0016,Raymond Cook,18,M,West Ronald,michaela36@example.net,+1-359-562-1287x500,2015-12-24
C0017,Sharon Pennington,74,M,Barbaraview,christy52@example.com,884-982-4263,2023-06-17
C0018,Jeff Romero,54,F,Traceyview,loneill@example.net,654.936.8902x15983,2022-07-17
C0019,Anne Yates,77,M,Triciamouth,elizabethjones@example.net,+1-931-838-9689x932,2023-03-11
C0020,Chelsea Lee,23,F,Jeremyport,robertcopeland@example.org,(719)560-8255x6490,2018-12-03
C0021,Scott Spencer,46,F,North Reginaldchester,tiffany86@example.net,216-682-0073x73617,2017-05-07
C0022,Antonio Hubbard,31,F,Toddtown,annthomas@example.com,(883)379-9477,2024-05-05
C0023,Stephanie Hodges,18,F,East Dianaport,malonekristin@example.net,614.364.3099,2022-12-19
C0024,Antonio Rasmussen,25,M,Lake Scottborough,rlarson@example.net,(462)992-6462x12190,2020-08-10
C0025,Krystal Carter,54,F,North Philip,elizabeth05@example.org,+1-262-298-3993,2024-10-29
C0026,Angela Bennett,62,M,New Patriciaberg,keithdavis@example.com,(957)929-5875,2015-07-04
C0027,Adam Church,68,F,West Brandonchester,kellyjoseph@example.org,(957)401-5839,2020-03-26
C0028,Sean Manning,29,F,New Christopherland,catherinebanks@example.com,001-917-967-5212,2024-05-24
C0029,Valerie Morales,54,F,Port Ericborough,larrykennedy@example.org,798-658-1734x1001,2018-04-24
C0030,Zachary Bishop,49,M,North Hannahmouth,hmckay@example.com,252-975-6496x01149,2021-10-05
C0031,Samantha Ryan,20,F,Beanside,philip79@example.com,(344)839-3882,2021-10-03
C0032,Angela Stanton,55,F,North Juliabury,smiller@example.org,+1-436-354-3422,2021-12-15
C0033,Christian Chavez,42,F,Connieton,johnsonanne@example.com,797.570.2056,2020-08-03
C0034,Brian Hamilton,43,M,Amyport,ericsantiago@example.org,+1-775-869-2973x46597,2022-07-22
C0035,Alexander Skinner,69,F,Gregoryburgh,robinfisher@example.com,822.352.7752x393,2023-12-28
C0036,Steven Kennedy,19,F,North Vanessachester,sampsontaylor@example.com,001-740-433-0354x42129,2016-08-25
C0037,Manuel Black,68,M,Jameschester,rhoward@example.org,2712023802,2016-06-22
C0038,Levi Obrien,21,M,Clarkburgh,jeffrey56@example.org,001-451-453-5682x875,2024-08-25
C0039,Mitchell Mason,27,F,North Robert,sarahfriedman@example.org,001-869-715-6804,2024-06-05
