customerID,name,age,gender,city,email,phone,joinDate
C0001,Evan Green,20,M,New Lisachester,daniellesanders@example.com,(748)660-6589,2023-09-17
C0002,Timothy Phillips,34,F,Tammychester,cathylin@example.net,6226190567,2023-12-29
C0003,Austin Lopez,69,F,North Nicole,michaelochoa@example.com,(218)952-4442x673,2016-01-19
C0004,Nancy Guzman,29,F,Daniellefort,scott86@example.net,9503597197,2023-03-21
C0005,Samantha Duncan,22,F,Austinborough,eric54@example.org,(546)584-9780x743,2020-12-27
C0006,Jacob Jones,28,F,Michaelchester,davissarah@example.com,(549)440-9128x99284,2016-02-16
C0007,James White,71,F,Kathleentown,danielpeter@example.org,(730)838-3336,2023-08-26
C0008,Ellen Horn,20,F,East Stephanieshire,gatesbrent@example.org,(893)211-5539x06209,2023-03-20
C0009,Samantha Patterson,49,F,Christineborough,mariaduran@example.org,(835)983-2072,2022-01-07
C0010,Carol Garcia,59,M,West Frank,wilsonnicole@example.com,(372)430-6948,2016-03-11
C0011,Roy Mcfarland,35,M,New Hollyview,eanderson@example.net,487-544-1897x16266,2025-04-08
C0012,Christopher Garcia,34,F,East Lacey,jeff41@example.net,(823)795-7976,2024-08-27
C0013,David Proctor,60,M,East Brittanyfort,teresanielsen@example.org,+1-283-390-6036x0575,2017-11-03
C0014,Stephanie Thompson,43,M,Castrostad,adam73@example.org,7744209299,2019-02-14
C0015,Steven Rodriguez,78,F,Brittneyton,pooleheather@example.com,543-863-7127,2016-09-18
C0016,Charles Farley,76,M,New Markshire,hunterdawn@example.org,837.308.2660,2022-07-10
C0017,Michael May,21,M,Ryantown,michelleschmidt@example.net,(741)409-3677x45430,2024-12-07
C0018,Megan Davis,68,F,North Katrina,michaelparker@example.org,001-299-969-3605x2732,2022-01-22
C0019,Don Beard,46,M,West Brenda,pgreen@example.net,(415)741-0255,2022-05-04
C0020,Kathleen Monroe,78,F,Spencerborough,richmonddavid@example.org,340-284-7543x67889,2018-07-19
C0021,Patrick Mack,60,M,Barretthaven,fgarner@example.net,660.450.7865,2021-06-04
C0022,Julie Schultz,37,M,Port Jeff,weaverjennifer@example.net,001-921-625-1084,2021-10-02
C0023,Christopher Herring,24,M,Samanthafort,ngilmore@example.org,201-766-1264x783,2016-09-02
C0024,Kevin Delgado,56,M,Robertsview,betty01@example.net,384.509.5985x57767,2023-08-27
C0025,Michele Phillips,64,M,Lake Jennifer,bellvictoria@example.net,001-709-329-1908x076,2020-03-02
C0026,Jessica Gray,21,F,South Lisabury,ndougherty@example.org,602-713-5661,2019-07-26
C0027,Shawn Bowen DDS,67,F,Skinnerbury,daviscarrie@example.org,(762)970-5862,2019-07-27
C0028,Stacie Hahn,45,M,Beardside,xdavies@example.org,208-460-1488,2015-08-17
C0029,Alicia Martin,54,F,West Cindyland,navarrobrandi@example.org,920-702-6207,2021-08-08
C0030,Christine Adams,65,F,Lake Christineburgh,whiteconnie@example.com,313-793-2603x3767,2016-05-27
C0031,Ryan Parker,56,M,Lake Joseph,gbryant@example.net,425.855.2096x5532,2017-01-14
C0032,Perry Cross,33,F,Solomonberg,pwilliams@example.net,5379818114,2024-05-12
C0033,Michael Guerrero,48,F,Lake Thomas,rwalter@example.net,836.717.1103,2020-08-05
C0034,Danielle Turner,43,F,Port Jamesfurt,peterarnold@example.org,+1-765-951-0458x21333,2025-05-02
C0035,Michelle Salinas,42,M,Lake Robert,chadbutler@example.com,+1-327-735-9594x69193,2020-02-28
C0036,Stephen Miller,48,M,North Williamhaven,jennifer80@example.com,484.647.8743,2018-07-26
C0037,Michelle Mcdonald,75,F,West James,coopergina@example.org,001-603-483-3110x5958,2021-12-06
C0038,Patrick Harris,75,M,Hortonstad,erinlewis@example.net,765-226-6505x530,2024-10-28
C0039,Emily Martinez,74,F,Lake Joshua,stacy64@example.com,001-492-991-5358x5143,2023-05-09
C0040,Debra Johnson,57,M,Alyssaland,marktaylor@example.com,(606)892-7483,2017-10-13
C0041,Shelly Oliver,23,M,Christopherburgh,victoria71@example.net,697-544-0639x2749,2017-01-11
C0042,Brooke Bailey,46,F,New Ashleyfort,martinezbrandon@example.org,8875771568,2023-06-30
C0043,Thomas Evans,42,M,Brittanyborough,christopher96@example.net,882-666-9159x052,2021-05-10
C0044,Kara Turner,71,M,Daltonburgh,joshua14@example.com,888.450.1333,2017-02-20
C0045,Michael Hamilton,51,M,South Michael,whitematthew@example.org,001-449-581-0747x1969,2021-04-24
C0046,Richard Taylor,48,F,Leview,nbrown@example.com,976.368.5261x359,2017-01-23
C0047,Ronald Sosa,32,F,North Richardshire,prestontonya@example.com,787-408-3130,2023-04-04
C0048,Mary Moreno,28,M,Gibsonhaven,jerryjohnson@example.com,(655)361-1616,2016-06-26
C0049,Robert Brown,22,M,Adkinsside,gmorales@example.org,(775)649-1086x85815,2017-02-25
C0050,Robert Adkins,21,M,West Heather,claudiawhite@example.com,427-798-9836x936,2017-11-13
C0051,Jeffrey Petersen,52,F,Brownchester,ljones@example.org,(749)394-4400,2024-08-10
C0052,Jennifer Brown,51,F,North Lisamouth,armstrongmichael@example.org,(658)453-2940x3474,2016-02-21
C0053,Jennifer Haley,36,F,Everettshire,elizabethmitchell@example.org,741.813.4223,2022-08-19
C0054,Caleb Garcia,43,F,New Brandon,hgonzalez@example.com,001-784-250-5547x39638,2019-09-21
C0055,Kathleen Bryant,52,F,Ericside,vmullins@example.org,+1-909-730-7517x467,2022-08-12
C0056,Dennis Howard,53,F,Rebeccatown,jeanne97@example.net,(753)239-6804,2024-02-14
C0057,Lucas Fowler,19,F,South Ellenmouth,qcordova@example.net,217.772.8542x092,2023-10-26
C0058,Kathryn Bartlett,69,F,Steventown,gmoran@example.com,443.387.3068x95794,2021-11-24
C0059,Leah Harris,39,M,Scottborough,jeremy04@example.net,001-210-643-6094x099,2018-06-12
C0060,Tom Huber,61,M,Banksfort,ronald74@example.net,495.416.5994x2852,2019-10-23
