employeeID,name,position,hireDate,branchID,email
E0001,Brianna Robinson,Advisor,2019-11-24,B023,nicholas53@example.net
E0002,Benjamin Smith,Advisor,2020-04-29,B050,lauren17@example.net
E0003,Sandra Hurley,Manager,2016-09-11,B161,christine83@example.org
E0004,David Robinson,Advisor,2023-04-11,B002,maria01@example.com
E0005,Rachel Turner,Clerk,2018-01-30,B183,johnsonpaul@example.org
E0006,Charles Schroeder,Clerk,2020-10-22,B135,stewartsamuel@example.org
E0007,Stacy Davis,Clerk,2015-09-28,B156,martinezshane@example.org
E0008,Destiny Ramirez,Manager,2020-04-08,B112,linda72@example.org
E0009,Nathan Boyd,Teller,2025-01-01,B134,michaelward@example.net
E0010,Derrick Fernandez,Advisor,2025-01-16,B019,susansanders@example.net
E0011,Daniel Meyer,Teller,2020-12-07,B096,aaron86@example.com
E0012,Madeline Mcclain,Advisor,2022-01-20,B043,michaelterry@example.com
E0013,Robert Wilson,Teller,2017-05-20,B176,osbornmary@example.org
E0014,Heather Morales,Advisor,2021-11-26,B113,william39@example.com
E0015,Heather Ruiz,Clerk,2020-09-29,B084,melanie59@example.org
E0016,Mary Williams,Manager,2018-11-22,B145,lortega@example.net
E0017,Jessica Keith,Advisor,2023-10-08,B053,wilsonjared@example.org
E0018,Emily Roman,Manager,2019-05-13,B009,paulawilliams@example.org
E0019,Jennifer Tanner,Manager,2022-01-28,B013,mary99@example.net
E0020,James Burton,Clerk,2023-02-14,B138,bsmith@example.net
E0021,Jenny Bradford,Clerk,2018-05-05,B090,rodriguezthomas@example.org
E0022,Cynthia Schmidt,Clerk,2023-07-18,B006,brockjamie@example.net
E0023,Ryan Stevenson,Advisor,2016-03-29,B180,jessestanton@example.com
E0024,Charles Berry,Advisor,2016-03-30,B166,maria36@example.org
E0025,Jim Rogers,Clerk,2017-04-12,B156,peterskimberly@example.com
E0026,Anna Martinez,Manager,2022-10-07,B113,ojohnson@example.com
E0027,Marie Allen,Clerk,2018-08-10,B121,ronnie96@example.com
E0028,Isabel Richmond,Clerk,2019-07-15,B011,reneeclark@example.net
E0029,Chelsea Edwards,Clerk,2016-10-20,B169,amandakennedy@example.net
E0030,Kevin Allen,Advisor,2019-09-03,B083,stephaniedouglas@example.net
E0031,Jessica Patel,Clerk,2021-08-20,B160,sarahli@example.net
E0032,Teresa Robinson,Advisor,2016-09-02,B049,vanessagibson@example.org
E0033,Ashley Brennan,Teller,2022-11-20,B139,burnskyle@example.org
E0034,Debra Miller,Teller,2023-12-13,B107,mcarter@example.org
E0035,Patricia Moore,Manager,2022-12-28,B040,chavezanne@example.com
E0036,Vincent Espinoza,Manager,2019-01-21,B097,anna08@example.com
E0037,Joseph Fleming,Teller,2021-03-08,B140,jessica03@example.net
E0038,Joseph James,Manager,2024-10-24,B170,jrichards@example.net
E0039,Emily Lang,Manager,2019-04-08,B067,melanieking@example.net
E0040,Paul Rose,Teller,2019-12-22,B048,diazrichard@example.net
E0041,Alexa Mason,Teller,2025-01-29,B179,waredaniel@example.com
E0042,Joseph Logan,Clerk,2024-10-15,B060,david13@example.net
E0043,Nicholas Wu,Advisor,2017-12-05,B054,ywilliams@example.org
E0044,Anne Williams,Clerk,2015-08-03,B171,qbradshaw@example.com
E0045,Collin Thompson,Teller,2021-10-28,B115,clayton50@example.com
E0046,Logan Fox,Teller,2017-08-11,B053,patrickbrennan@example.net
E0047,Bailey James,Manager,2017-01-06,B159,kristenyang@example.org
E0048,Wanda Coleman,Clerk,2023-10-03,B053,jbrooks@example.net
E0049,Patricia Valenzuela,Advisor,2015-12-03,B194,caitlin76@example.com
E0050,Tyrone Miller,Manager,2024-03-05,B085,ellisbrian@example.net
E0051,Mrs. Miranda Yang MD,Advisor,2018-11-16,B182,upollard@example.com
E0052,Cynthia Stevens,Manager,2021-02-13,B037,brittany53@example.net
E0053,Todd Hawkins,Advisor,2017-02-23,B151,cooleyjames@example.com
