customerID,name,address,city,email,phone
C0001,Patricia Church,"7777 Ryan Route Suite 200, North Mark, CO 72738",Michelleview,autumnmiller@example.com,268.667.1831x0517
C0002,Lynn Franco,"703 Wu Light, Ginaview, CO 32508",Williamsborough,jonestimothy@example.org,793-583-7606x3982
C0003,Anthony Pena,"6959 Jason Crossroad, East Davidberg, MD 79077",East Carolyn,tammy70@example.com,001-315-390-8768x130
C0004,Melanie Beasley,"4653 Linda Coves, Port Taylor, GU 13171",West Brandon,linda23@example.com,911.925.3257
C0005,Charles Vargas,"614 Robert Squares, Patrickhaven, NE 79389",New Ashleymouth,julia16@example.net,588.423.5855
C0006,Donna Hernandez,"2700 Hutchinson Pine Suite 821, North John, CO 35771",Martinhaven,zrodgers@example.com,2648701043
C0007,Veronica Alexander,"807 Jessica Dale Apt. 578, Bradberg, FM 52420",Lake Jimmytown,zray@example.org,651-874-4358x5691
C0008,Kenneth Phillips,"886 Fuller Loaf Suite 934, West Jeffreyside, RI 66563",Gardnerside,wendy89@example.org,2836064596
C0009,Michael Johnson,"27114 Juan Fall, Perrychester, AK 48784",Christopherburgh,pmyers@example.net,+1-761-391-1703x5511
C0010,Jade Gutierrez,"3254 Jenna Locks, South Danielberg, ID 43918",Marybury,robinsontheresa@example.org,965-631-2136x45865
C0011,William Kirk,"559 Park Lodge Suite 364, Santosbury, PA 40896",Flynnton,chelseabrown@example.net,212-628-8249
C0012,Elizabeth Calderon,"48029 Brandy Bypass, Port Kyle, NH 73242",Susanfort,sherriking@example.com,+1-383-528-7931x598
C0013,Mrs. Joanna Moore,"0903 Dylan Brook Apt. 062, East Darlene, AZ 00532",Lake Sarah,wmoran@example.org,001-503-566-2677x2721
C0014,Lisa Carroll,"999 Carlson Forest, Michaelton, NC 72565",Port Lisa,pjones@example.org,+1-609-951-6325x7180
C0015,Pamela Griffin,"8117 Michael Oval Suite 160, Lake Rogerton, IN 05157",Claudiafort,sweaver@example.org,+1-518-496-4485x7093
C0016,Jesse Adams,"556 Jacqueline Ferry Apt. 089, Joshuaberg, TN 72000",New Caitlinton,cshaw@example.net,858.610.7203
C0017,Jared Black,"94484 Joe Ferry Suite 639, North Justin, SD 87367",Scottstad,kwhite@example.com,(302)378-6818x77617
C0018,Laura Johnson,"59606 Amanda Lake, Wangview, MH 61531",East Natalieport,rodriguezashley@example.net,441-881-7954x0847
C0019,Mr. Tyler Evans III,"21461 Nancy Pine Suite 222, Williamfort, AR 82231",Kennethborough,jason40@example.com,863-670-7049
C0020,Robert Moyer,"924 Jacob Port Suite 485, Lake Nathanchester, MN 74186",East Brandonberg,rprice@example.net,723-990-0209x1493
C0021,Caitlin Goodman,"328 Patty Village, Lake Brandon, MS 64079",New Pammouth,michelle04@example.net,643.239.3336
C0022,Jessica Maldonado MD,"315 Lambert Plain, Medinabury, ME 10243",South Jay,tomcarlson@example.org,675.512.1702
C0023,Jared Morales,"08156 Gina Causeway Suite 070, South Christina, AS 36147",North Antonioland,jason25@example.net,+1-423-956-2462x604
C0024,Joseph Parks MD,"07897 William Unions, East Savannah, FL 30905",South Michaelhaven,andrewslisa@example.org,(277)274-2148
C0025,Anne Fry,"79947 Kevin Squares Apt. 942, North Andreborough, ME 72813",New Heather,qallen@example.com,001-937-853-3196x91754
C0026,Melinda Guerrero,"1334 Jessica Extensions, Haleyhaven, UT 81929",Rodriguezfort,colleen97@example.com,668.326.4081x9438
C0027,Clinton Booker,"20718 Matthew Pine Suite 214, South Troy, NM 82372",Jamesstad,seanvance@example.com,001-324-647-5552x5424
C0028,Evelyn Gomez,"489 Jared Ports, East Stacy, OH 88360",Trevormouth,nyoung@example.com,001-945-374-0665x0525
C0029,Scott Harvey,"7772 Timothy Inlet Suite 182, West Barbaramouth, AZ 14742",Fergusonfort,kristiningram@example.com,+1-402-271-0602x3346
C0030,Kevin Frederick,"0705 Brian Roads Suite 753, Hunterhaven, AK 02063",New Sheilaview,jean83@example.org,555.725.1294
C0031,Ronald Clark,"9847 Miller Road Apt. 412, North Alicia, MN 32195",Donnaburgh,patricia14@example.net,221-707-6093x4974
C0032,Kelly Beck,"4460 Smith Village, New Maryland, AK 69980",West Susanburgh,tmartinez@example.com,589-669-0174
C0033,Heather Mitchell,"979 Hernandez Mountains Suite 442, Snowtown, SC 04207",Barreraport,catherine35@example.net,001-282-675-7788x24109
C0034,Susan Freeman,"25854 Obrien Island Apt. 553, East Amyhaven, WY 75525",East Katie,stephengomez@example.net,328.697.8698
C0035,Sarah Barton,"PSC 8463, Box 0075, APO AA 43955",Riggsland,collinscynthia@example.net,975-767-6491x16016
C0036,Kyle Mason,"USCGC Morales, FPO AE 79802",Rogerside,philipmartin@example.org,+1-727-548-8930x370
C0037,Tiffany Peterson,"Unit 0850 Box 9435, DPO AP 60136",New Allisontown,pparks@example.org,366-252-6460x38046
C0038,Lori Bailey,"43099 Mcmillan Crossroad, Stanleyfurt, MI 17497",Wolfeberg,alyssahall@example.org,414-969-7289x9149
C0039,David Todd,"961 Gill Vista Apt. 599, Chadmouth, IL 19052",South Danielleside,llewis@example.org,+1-487-353-5815
C0040,Jeffery Ray,"073 Ward Club Apt. 196, Brianville, WA 14346",Lake Richard,katherine35@example.org,413.515.0699x00751
C0041,Calvin Gordon,"173 Kristine Freeway Suite 477, Johnborough, NE 04764",Lake Lindsey,carlosstewart@example.net,(432)278-0309x245
C0042,Amanda Taylor,"220 Jones Loaf, West Randy, RI 71244",West Beckyfurt,wanderson@example.org,2939414161
C0043,Sharon Rojas,"0539 Wiley Springs Suite 374, Christopherfurt, VI 87843",South David,elijahdiaz@example.com,(499)284-3743
C0044,David Cooper,"44438 Lee Track, Matastad, MD 91180",Oliviachester,buchanankimberly@example.org,485-504-9070
