doctorID,name,specialty,email,phone
DR0001,Richard Smith,Pediatrics,lgarcia@example.org,897.865.1643
DR0002,Cody Butler,Orthopedics,lauralopez@example.net,3707590244
DR0003,Hannah Smith,Orthopedics,obarajas@example.com,+1-664-983-0876x5309
DR0004,Kathleen Lopez MD,Orthopedics,leecox@example.net,(517)874-6695x488
DR0005,Logan Horn,Orthopedics,holmesjessica@example.org,7683353134
DR0006,Dr. Tammie Becker,General,sophia45@example.net,376-808-7998x28342
DR0007,Dana Bennett,General,uyates@example.com,+1-929-943-3851x34688
DR0008,Jacob Johnson,Cardiology,richard93@example.org,+1-708-721-4347
DR0009,Douglas Wallace,General,julie48@example.org,2865242396
DR0010,Lisa Cook,General,madison11@example.net,001-580-284-6531x637
DR0011,Crystal Riggs,General,louissparks@example.net,609.326.8034
DR0012,Tracy Sherman,General,brownjason@example.com,+1-886-882-5627x175
DR0013,Darren Garner,Neurology,leonardjason@example.org,+1-620-849-7654x197
DR0014,Angelica Martin,Cardiology,kimberlybeard@example.net,4946925178
DR0015,Christopher Payne,General,eclayton@example.net,3386910516
DR0016,Cody Hansen,Orthopedics,ahernandez@example.net,+1-985-640-0954
DR0017,Elizabeth Ford,General,emilywolf@example.com,235-418-5282x161
DR0018,James Young,General,xroberts@example.net,001-827-476-4312x096
DR0019,Emma Young,Orthopedics,freemanjennifer@example.net,(692)655-2500x733
DR0020,Joshua Wheeler,Neurology,matthewsshannon@example.net,766-794-8286x60776
DR0021,Nancy Jackson,Neurology,etaylor@example.com,+1-870-836-3863x9618
DR0022,Matthew Garcia,General,todd22@example.org,715-251-2368x42010
DR0023,Shane Chambers,Pediatrics,yshields@example.org,+1-220-534-1841
DR0024,Keith Robbins,Cardiology,michaelgreen@example.org,(902)267-0119
DR0025,Benjamin Lucero,Pediatrics,buckleymelvin@example.net,+1-358-615-0074x18390
DR0026,Tracy Miranda,Neurology,emilyellis@example.com,412.645.6577
DR0027,Donna Shaffer,General,brittany53@example.com,+1-299-405-1857x83083
DR0028,Jody Jacobs,Neurology,taylorrasmussen@example.com,(274)932-5724x76879
DR0029,George Hendrix,Pediatrics,youngpatrick@example.com,(463)420-2470x888
DR0030,Reginald Mclaughlin,Cardiology,jessicaporter@example.net,(954)232-5313x2588
DR0031,Trevor Austin,General,tthompson@example.com,(264)685-4708
DR0032,Rhonda Gonzalez,Cardiology,danielhunter@example.org,580.765.5577x12663
DR0033,Dylan Valdez,Orthopedics,llopez@example.com,442-619-2852x84560
DR0034,Molly Cortez,Pediatrics,holly04@example.com,001-637-969-6331x99994
DR0035,Emma Wright,Neurology,lsmith@example.com,233-550-3502
DR0036,Randy Mclaughlin,Orthopedics,christopher04@example.org,718-842-2723
DR0037,Jean Diaz,General,kimberly50@example.net,+1-383-541-0964x6766
DR0038,Justin Brown,Cardiology,jessica15@example.org,3204850063
DR0039,Alexander Garcia,General,jeffreydelgado@example.net,+1-402-439-1636x778
DR0040,Christina King,Neurology,yatesdevon@example.org,001-963-205-3589x635
DR0041,Alicia Carlson,General,hernandezkevin@example.net,427-223-0030x388
DR0042,Andrea Ryan,Cardiology,smitheric@example.com,805-617-5669
DR0043,Martin Robinson,Pediatrics,johnny00@example.org,+1-815-878-6559
DR0044,John Henderson,Neurology,margaret29@example.com,(270)926-7508x66986
DR0045,Collin Brown,Pediatrics,ramirezmichael@example.net,241-290-4536x72445
DR0046,Diana Roman,General,xtanner@example.com,736-205-7570x9286
DR0047,Geoffrey Brown,Orthopedics,jacob52@example.com,+1-205-559-1783x3906
DR0048,Megan Hudson,Cardiology,oscar55@example.net,(396)594-9528x516
DR0049,Jordan Hamilton,Pediatrics,david43@example.net,001-581-706-2846x261
DR0050,Barbara Rivera,Orthopedics,simpsonjohn@example.org,824.331.5589
DR0051,Jonathan Bennett,General,shaffermarissa@example.org,792.269.7741x5947
