claimID,policyID,claimAmount,claimDate,claimStatus,description,payoutDate
CL20001,P16133,18589,2023-03-18,Closed,Know discover the.,2023-12-03
CL20002,P14507,8647,2025-01-12,Rejected,Without hair nature.,
CL20003,P16280,3599,2024-03-16,Closed,Wait professor indicate.,2023-12-04
CL20004,P10766,15527,2023-07-15,Closed,Operation difference activity.,2025-05-08
CL20005,P14998,15354,2025-04-28,Closed,I miss most service discussion.,2024-12-24
CL20006,P16410,16190,2023-07-27,Open,Edge wrong.,
CL20007,P13122,4271,2023-10-06,Open,Along third red.,
CL20008,P10770,4633,2023-12-02,Rejected,Last effort industry once society.,
CL20009,P15904,15029,2025-04-13,Rejected,Around plant.,
CL20010,P12996,15871,2024-10-17,Rejected,Population continue since remember ok.,
CL20011,P15671,15412,2023-12-07,Closed,Various hot.,2025-06-15
CL20012,P10916,16776,2023-05-14,Closed,Recent money member.,2023-06-25
CL20013,P14857,5983,2022-12-24,Open,Administration suffer fear important.,
CL20014,P13679,18736,2025-04-21,Closed,Bag those clearly agreement.,2024-11-22
CL20015,P14076,4269,2024-09-11,Open,Member take.,
CL20016,P14138,12619,2023-03-14,Rejected,Structure town.,
CL20017,P11354,19293,2024-05-09,Open,System campaign organization.,
CL20018,P16163,7107,2025-05-06,Rejected,Left argue me material.,
CL20019,P14358,14995,2023-07-25,Open,Field design smile.,
CL20020,P11402,14657,2025-01-11,Open,Across establish important hear successful.,
CL20021,P15034,17462,2023-12-02,Rejected,Next talk score against.,
CL20022,P13011,12111,2022-11-19,Rejected,Now decide daughter mission.,
CL20023,P10773,5291,2024-03-02,Closed,Show dog.,2023-08-31
CL20024,P12973,9375,2024-11-29,Open,New maybe quite build kid.,
CL20025,P14148,12147,2023-10-23,Open,Blood treatment senior skill staff.,
CL20026,P15023,17654,2023-08-14,Open,Several reveal democratic administration somebody.,
CL20027,P10797,18809,2023-01-28,Open,Indicate skill.,
CL20028,P15170,4941,2025-01-20,Rejected,Receive probably first.,
CL20029,P15483,13190,2022-10-26,Rejected,Three shoulder agree.,
CL20030,P11513,17706,2023-03-21,Rejected,Much gas education pass learn.,
CL20031,P15119,7681,2024-11-06,Open,Unit nearly on growth clear.,
CL20032,P11317,7266,2023-05-07,Rejected,Difference traditional modern current road.,
CL20033,P16958,8833,2024-10-27,Closed,Program spring.,2024-03-21
CL20034,P13675,19093,2023-02-16,Rejected,Need ago.,
CL20035,P13753,3100,2024-06-14,Rejected,Soldier head name rest single.,
CL20036,P16817,17971,2023-10-23,Open,Democrat apply word watch process.,
CL20037,P12004,18146,2023-03-05,Rejected,In hot.,
CL20038,P13415,12125,2024-06-17,Closed,Our special attorney rather decade.,2023-10-24
CL20039,P15612,7471,2025-03-22,Open,Suffer partner either painting.,
CL20040,P11103,2444,2025-06-08,Closed,Opportunity billion well certain stock.,2023-12-17
CL20041,P17689,3420,2023-10-18,Rejected,Key decide person.,
CL20042,P16446,9162,2023-06-27,Open,Democrat issue.,
CL20043,P12373,2358,2024-06-16,Open,Wide agree happen.,
CL20044,P10148,13371,2022-12-12,Rejected,Still such.,
CL20045,P13171,735,2024-09-04,Open,For agreement whether hand place.,
CL20046,P11197,8924,2023-04-01,Rejected,Financial into.,
CL20047,P15468,10693,2025-04-13,Rejected,Theory outside hospital itself city.,
CL20048,P11707,5486,2023-12-28,Closed,Both environmental really goal.,2024-09-15
CL20049,P13188,16744,2023-04-11,Open,Executive ground environment building.,
CL20050,P13384,10302,2022-08-26,Rejected,Edge fight.,
CL20051,P13217,1874,2023-12-16,Open,And trouble behavior game.,
CL20052,P10033,3403,2024-12-28,Closed,Perform maintain.,2024-06-16
CL20053,P15647,9155,2022-10-16,Open,Should concern green coach.,
CL20054,P16402,3085,2024-01-20,Open,Meet bar program professional.,
CL20055,P11713,3288,2023-02-02,Rejected,Home mother.,
CL20056,P15608,1816,2024-07-11,Open,Say director safe many.,
CL20057,P16380,13090,2024-11-22,Closed,Tell cell identify such.,2024-01-19
CL20058,P14862,17429,2025-02-28,Closed,Trip you car.,2024-03-21
CL20059,P14841,7089,2024-02-22,Closed,Book participant.,2025-04-24
CL20060,P10080,732,2025-01-03,Open,Science sense take.,
CL20061,P16463,19705,2024-09-17,Rejected,Contain tonight there.,
CL20062,P15358,1363,2024-03-11,Closed,Even future experience fall.,2025-06-05
CL20063,P14921,16429,2023-09-10,Open,Attorney one now camera walk.,
CL20064,P14681,1304,2025-02-24,Rejected,Show baby group serve.,
CL20065,P16299,14641,2024-11-18,Rejected,Born successful when.,
CL20066,P16978,11431,2024-06-03,Closed,Fish none condition poor late.,2023-11-24
CL20067,P13495,12394,2022-11-05,Rejected,Local herself who approach.,
CL20068,P15613,2627,2025-03-06,Closed,Get case economic organization.,2024-03-21
CL20069,P16105,1835,2024-07-29,Open,Style city girl.,
CL20070,P16409,1940,2023-10-04,Open,Mean represent have.,
CL20071,P15866,8694,2024-11-30,Open,Study report television option.,
CL20072,P14460,12486,2025-05-08,Rejected,Impact guy beautiful.,
CL20073,P13190,2912,2022-12-04,Rejected,Interesting reveal majority.,
CL20074,P11439,2171,2024-01-18,Open,Thought increase Mrs.,
CL20075,P13043,5631,2023-05-27,Rejected,Front agency these fact.,
CL20076,P17957,14601,2023-08-12,Closed,By program young wall task.,2024-04-30
CL20077,P11750,12049,2023-04-17,Rejected,War left fight.,
CL20078,P14747,1958,2025-04-28,Rejected,Several prove fast.,
CL20079,P10325,18829,2022-10-23,Closed,Civil field cultural sister.,2023-06-28
CL20080,P16795,17187,2024-07-22,Closed,Movement choose section the.,2024-11-29
CL20081,P13191,8001,2023-07-11,Closed,Voice test dark.,2024-09-04
CL20082,P17979,7424,2023-04-29,Closed,Despite many draw.,2024-03-31
CL20083,P10617,12758,2025-05-22,Closed,President increase really interest.,2024-08-28
CL20084,P16666,8757,2023-09-17,Closed,Figure finally life until.,2023-09-30
CL20085,P17998,16301,2022-11-06,Open,Modern onto inside.,
CL20086,P13443,4009,2023-12-19,Rejected,Front gun control class attack.,
CL20087,P11309,15718,2023-09-08,Closed,Pay together.,2023-08-18
CL20088,P15900,526,2023-01-07,Rejected,Everybody himself social air.,
CL20089,P14700,15590,2024-06-11,Open,Against party win.,
CL20090,P17329,12970,2025-03-13,Closed,Figure strong.,2024-05-28
CL20091,P10678,2240,2025-03-23,Rejected,Operation add model.,
CL20092,P10856,8830,2024-09-07,Rejected,Support guy place learn.,
CL20093,P10528,3432,2023-10-19,Open,Responsibility continue just course.,
CL20094,P11544,4696,2024-05-19,Open,Risk field reflect its.,
CL20095,P11340,18806,2024-06-29,Open,Guess wish.,
CL20096,P11199,3324,2023-10-16,Rejected,Network across energy case.,
CL20097,P10157,3262,2023-03-18,Rejected,Over result.,
CL20098,P14256,5990,2022-08-16,Open,Light image agency only hope.,
CL20099,P15801,18312,2024-02-13,Closed,Financial sing.,2023-09-13
CL20100,P15487,13678,2024-02-23,Rejected,Ready dog.,
CL20101,P11173,781,2024-02-25,Closed,Hospital poor.,2024-08-15
CL20102,P13874,3812,2024-04-14,Open,Defense affect.,
CL20103,P16872,16124,2024-07-21,Closed,Tell remember throughout.,2024-03-12
CL20104,P14850,12963,2023-06-04,Closed,Central exactly research news wall.,2024-03-25
CL20105,P12713,14753,2023-11-19,Rejected,Your toward indeed determine.,
CL20106,P12024,19773,2025-03-10,Open,Themselves manage onto wait figure.,
CL20107,P10417,19436,2023-05-26,Closed,Fine writer.,2025-03-27
