customerID,name,age,gender,city,email,phone,joinDate
C0001,James Hall,64,M,North Katherine,candicemurphy@example.com,411.568.1143,2017-04-23
C0002,Eric Snyder,60,F,Port Brian,kennethorr@example.com,001-992-783-9676x559,2019-12-03
C0003,Peter Warren,50,F,Loganside,kathleen89@example.org,(489)448-5262,2017-12-04
C0004,Scott Hodge,53,F,South Johnport,goldenscott@example.com,+1-516-729-2403,2020-06-23
C0005,Jaime Marshall,27,F,Smithburgh,wholloway@example.net,001-789-599-0214x74362,2022-08-29
C0006,Samantha Miller,46,F,West Erik,janice35@example.com,762-962-2007x85499,2020-06-24
C0007,Jeffrey Diaz,77,M,South Shawn,turnerdeborah@example.org,851.754.9440x23597,2022-04-07
C0008,Monica Jones,24,F,Lake Jocelyn,katherinegibbs@example.com,+1-665-670-1727,2025-01-31
C0009,Stacey Ramos,61,M,Shahburgh,bentleyregina@example.org,959.800.4883x44930,2024-02-19
C0010,Brian Lloyd,41,F,Amandatown,adamwright@example.com,9766654709,2022-01-10
C0011,David Baker,54,F,New Lisa,kevinward@example.net,442.978.2967x61555,2020-12-04
C0012,Jennifer Brennan,28,F,South Josephstad,plee@example.net,687.977.0829,2017-11-28
C0013,Jasmine Adams,62,M,Frazierstad,andersonbrad@example.net,604-804-8293x36280,2017-06-09
C0014,Caitlin Webb,65,M,East Sandraberg,johnsonwilliam@example.com,7213281750,2017-04-22
C0015,Hannah Vasquez,31,M,Port Richard,melissarichards@example.net,856.461.4099x99482,2023-07-06
C0016,Brian Harris,42,F,South Amandaville,qjackson@example.net,320.372.0673,2018-01-24
C0017,Katrina Walter,53,M,Jamesport,amcdonald@example.org,556.654.9210x485,2023-07-18
C0018,Jasmine Garcia DVM,79,M,Gutierrezchester,davidlogan@example.org,+1-342-900-4075x47071,2022-01-22
C0019,Michelle Norris,64,F,West Mark,tamara61@example.com,001-251-796-5042x405,2024-08-31
C0020,Tara Mitchell,64,F,West Katherine,richard11@example.org,607-868-6599x77260,2020-10-19
C0021,Shannon Taylor,29,M,Matthewside,suzanne50@example.net,001-391-457-9225x7939,2022-05-13
C0022,Christine Lindsey,43,M,Powellland,kaitlynvaughn@example.org,001-717-397-2363x2085,2023-12-01
C0023,Lisa Cummings,18,F,South Connieborough,kyle20@example.net,254-550-5084,2021-03-29
C0024,Cynthia Green,70,M,New Tina,jonessteve@example.com,(526)364-8716,2018-12-11
C0025,Valerie Figueroa,79,M,North Robertstad,anasanchez@example.com,2503445231,2020-06-15
C0026,Clinton Whitehead,25,M,Andreaborough,thorntonjohn@example.net,001-775-752-8484x5852,2023-09-12
C0027,Veronica Ray,39,M,East Jesse,lcampbell@example.net,666-316-7615x1381,2017-04-01
C0028,Ronald Smith,77,F,Harrisonchester,zdavis@example.com,408.310.3128x509,2022-04-22
C0029,Kristi Lane,51,F,Lake Michaelchester,laurabarnes@example.net,4112520752,2025-06-12
C0030,Courtney Jordan,56,F,West Deborahmouth,cookjoseph@example.com,001-857-784-6100x047,2023-01-06
C0031,Kayla Walsh,78,F,Barrettville,kelly39@example.net,377.532.9912x092,2025-02-12
C0032,Jeffrey Smith,21,F,New Jonathanbury,jennifergonzalez@example.com,+1-611-407-9925x28206,2017-09-12
C0033,Chelsea Coleman,72,F,Port Seanborough,danielle85@example.com,(289)230-2689x50538,2017-11-15
C0034,Sandra Lane,53,F,New Angela,andersonstephanie@example.org,(793)339-3305x511,2023-08-20
C0035,Sherri Manning,76,M,Paulmouth,whitemargaret@example.net,996-451-1316,2024-08-18
C0036,Robert Romero,21,F,Lake Taramouth,williamswendy@example.org,958.292.0977,2023-08-08
C0037,Erik Wheeler,51,F,South Thomas,moralesmichael@example.net,(535)391-1539x85318,2015-07-07
C0038,Steven Pearson,22,M,Port Chelsea,hjordan@example.org,456-866-2472x778,2017-06-10
C0039,Timothy Kennedy,61,F,Tracystad,johnsonkendra@example.org,001-925-958-3938x5933,2021-01-25
