workerID,name,plantID,hireDate,role
W00001,Gregory Owens,PL022,2020-03-26,Operator
W00002,Nancy Buckley,PL022,2025-06-13,Operator
W00003,Lisa Barnes,PL048,2016-03-09,Supervisor
W00004,Timothy Anderson,PL041,2018-12-29,Supervisor
W00005,Megan Morris,PL049,2021-10-26,Engineer
W00006,Kathryn Fernandez,PL025,2024-02-03,Operator
W00007,Lisa Chavez,PL006,2020-01-31,Engineer
W00008,Isaac Beasley,PL041,2018-10-09,Operator
W00009,Kenneth Rice,PL006,2016-09-04,Technician
W00010,Steven Torres,PL015,2018-02-17,Technician
W00011,Jasmine Goodwin,PL030,2022-06-20,Technician
W00012,Cynthia Maynard,PL018,2022-12-01,Operator
W00013,Matthew Wilson,PL009,2023-11-14,Supervisor
W00014,Elizabeth Lane,PL010,2023-02-25,Technician
W00015,Mary Price,PL049,2016-03-02,Supervisor
W00016,David Mccullough,PL018,2019-01-01,Technician
W00017,Gregory Jordan,PL012,2015-11-09,Engineer
W00018,Kimberly Reyes,PL012,2016-03-17,Operator
W00019,Elizabeth Oliver,PL035,2021-07-22,Operator
W00020,Jeffrey Fisher,PL021,2019-01-04,Engineer
W00021,Rachel Cervantes,PL006,2015-07-22,Supervisor
W00022,Debra Black,PL015,2015-07-29,Technician
W00023,Patrick Jenkins,PL019,2017-04-09,Operator
W00024,Shirley Robbins,PL043,2025-02-27,Operator
W00025,Kelly Torres,PL030,2016-11-06,Supervisor
W00026,Lauren Thomas,PL001,2024-11-02,Supervisor
W00027,Joshua Stafford,PL003,2021-06-28,Engineer
W00028,Mark Anderson,PL042,2020-08-04,Engineer
W00029,Ashley Hardin,PL018,2019-03-22,Engineer
W00030,Eric Williams,PL008,2021-04-30,Technician
W00031,Jeffrey Johnson,PL029,2020-03-09,Supervisor
W00032,Joseph Brown,PL024,2015-08-02,Operator
W00033,Alexandra Delgado,PL002,2016-06-04,Technician
W00034,Marc Mahoney,PL045,2017-08-06,Operator
W00035,Valerie Contreras,PL008,2017-09-24,Engineer
W00036,Kevin Frost,PL044,2016-03-21,Operator
W00037,Raymond Perkins,PL018,2018-03-01,Technician
W00038,Dr. Austin Webster,PL008,2023-02-01,Technician
W00039,David Forbes,PL035,2021-07-29,Engineer
W00040,Kathryn Rogers,PL014,2021-03-20,Supervisor
W00041,Carol Sanchez,PL036,2023-10-23,Engineer
W00042,Elizabeth Donovan,PL026,2020-06-18,Technician
W00043,Ashley Long,PL009,2023-11-16,Supervisor
W00044,Eric Miller,PL006,2024-02-04,Technician
W00045,Frank Norris,PL033,2018-07-08,Supervisor
W00046,Jennifer Santiago,PL033,2022-07-21,Operator
W00047,Charles Austin,PL008,2016-01-19,Operator
W00048,Ashley Sutton,PL009,2021-01-30,Technician
W00049,Todd Middleton,PL004,2016-06-19,Technician
W00050,Miranda Kaufman,PL040,2020-04-19,Engineer
W00051,Jason Vance PhD,PL042,2016-01-23,Supervisor
W00052,Corey Peck,PL010,2022-01-03,Technician
W00053,Kara Long,PL002,2022-08-27,Supervisor
W00054,Joshua Trujillo,PL032,2015-12-11,Supervisor
W00055,Brian Tanner,PL033,2023-09-01,Supervisor
W00056,William White,PL032,2024-05-27,Operator
W00057,Tara Hancock,PL007,2016-01-28,Supervisor
W00058,John Rogers,PL020,2020-07-30,Supervisor
W00059,Crystal Chavez,PL050,2021-07-19,Supervisor
W00060,Charles Short,PL013,2017-06-16,Engineer
W00061,Jennifer Anderson,PL023,2023-12-23,Technician
W00062,Daniel Herrera,PL043,2022-12-15,Technician
W00063,Nicholas Francis,PL041,2017-12-12,Engineer
W00064,Jason Haney,PL044,2018-11-21,Technician
W00065,Richard Peterson,PL003,2017-11-04,Technician
W00066,Thomas Pitts,PL045,2022-05-03,Supervisor
W00067,Sharon Carlson,PL031,2015-12-01,Technician
W00068,Lisa Greer,PL043,2021-09-19,Operator
W00069,Anita Delgado,PL012,2019-07-23,Supervisor
W00070,Michael Wells,PL030,2016-03-13,Technician
W00071,David Melton,PL032,2019-08-31,Technician
W00072,William Perez,PL010,2022-12-28,Engineer
W00073,Mr. Joseph King,PL023,2024-01-19,Technician
W00074,Victor Moore,PL010,2024-02-05,Engineer
W00075,Damon Brady,PL006,2024-02-02,Supervisor
W00076,Stephanie Griffith,PL003,2024-11-07,Engineer
W00077,Brian Medina,PL047,2016-08-14,Operator
W00078,Samantha Diaz,PL021,2020-07-16,Technician
W00079,Crystal Washington,PL044,2021-01-09,Supervisor
W00080,Michael Keller,PL041,2025-05-12,Supervisor
W00081,Christopher Jimenez,PL043,2016-01-04,Engineer
W00082,Donald Schultz,PL033,2025-01-06,Supervisor
W00083,Kevin Barry,PL037,2025-01-12,Technician
W00084,Amber Hampton,PL031,2020-11-30,Operator
W00085,Danny Guerra,PL009,2017-04-20,Technician
W00086,Shannon Harris,PL019,2017-02-04,Operator
W00087,Michael Kelly,PL047,2025-02-10,Technician
W00088,Stephanie Garner,PL015,2021-06-25,Technician
W00089,Michael Hurst,PL021,2016-02-28,Engineer
W00090,Shawna Bishop,PL045,2023-07-05,Operator
W00091,Donna Garcia,PL045,2021-10-07,Supervisor
W00092,Andrew Murphy,PL009,2020-11-05,Technician
W00093,Erin Roberts,PL004,2022-05-25,Supervisor
W00094,Tommy Cruz,PL041,2020-07-05,Engineer
W00095,Brandon Garcia,PL019,2018-03-07,Operator
W00096,Wendy Gonzalez,PL007,2020-02-27,Operator
W00097,Karen Roberson,PL011,2022-04-06,Engineer
W00098,Heather Greene,PL016,2020-10-17,Supervisor
W00099,Brandon Rogers,PL014,2019-12-31,Supervisor
W00100,Mark Glover,PL015,2017-05-25,Supervisor
W00101,Caitlin Brown,PL008,2021-11-09,Engineer
W00102,Cory Hudson,PL012,2021-07-17,Operator
W00103,Roy Stewart,PL038,2018-10-31,Supervisor
W00104,Kathryn Mayer,PL030,2017-02-08,Operator
W00105,Morgan Garrison,PL011,2023-05-07,Technician
W00106,Derek Good,PL033,2023-12-24,Engineer
W00107,Nicole Stevenson DVM,PL007,2023-01-25,Engineer
W00108,April Baldwin,PL012,2017-03-23,Engineer
W00109,Mrs. Catherine Aguilar DDS,PL029,2020-08-03,Operator
W00110,Karen Ramirez,PL022,2017-01-05,Technician
W00111,Kaylee King,PL013,2024-12-18,Engineer
W00112,Leslie Hernandez,PL048,2024-07-24,Supervisor
W00113,Susan Mosley,PL049,2021-06-06,Supervisor
W00114,Dana Mosley,PL007,2018-06-28,Supervisor
W00115,Jennifer Taylor,PL027,2020-02-18,Technician
W00116,Lori Dennis,PL019,2020-09-08,Supervisor
W00117,Kimberly Johnson,PL004,2018-06-05,Engineer
W00118,Bianca Russell,PL021,2018-04-03,Supervisor
W00119,Heather Allison DVM,PL027,2024-08-11,Operator
W00120,Charles Miller,PL039,2018-04-25,Technician
W00121,Johnny Stevens,PL029,2025-04-21,Engineer
W00122,John Martin,PL030,2020-03-22,Technician
W00123,Shannon Patrick,PL043,2018-05-13,Technician
W00124,Juan Sullivan MD,PL011,2015-10-12,Supervisor
W00125,Paul Myers,PL015,2019-03-09,Operator
W00126,Casey Gonzalez,PL001,2023-01-23,Supervisor
W00127,Ashley Warren,PL041,2024-09-02,Engineer
W00128,Ashley Miller,PL027,2018-07-14,Operator
W00129,Derek Friedman,PL011,2023-10-30,Engineer
W00130,Megan Roberts,PL007,2020-02-24,Technician
W00131,Tammy Cummings DVM,PL041,2016-12-31,Supervisor
W00132,Christina Phillips,PL039,2017-02-07,Operator
W00133,Stephanie Joseph,PL014,2022-07-23,Technician
W00134,Kelly Pacheco,PL050,2016-01-14,Engineer
W00135,Lynn Perez,PL029,2021-03-04,Operator
W00136,Cody Adams,PL018,2023-08-17,Operator
W00137,Victoria Garcia,PL036,2017-11-10,Engineer
W00138,Jennifer Rodriguez,PL020,2025-05-25,Operator
W00139,Lori Pearson,PL039,2021-12-11,Supervisor
W00140,Johnathan Gibson,PL028,2022-08-12,Technician
W00141,Richard Alexander,PL037,2015-09-25,Engineer
W00142,Rhonda Blair,PL045,2021-11-16,Supervisor
W00143,Rose Dennis,PL039,2023-02-11,Engineer
W00144,Patrick Rodriguez,PL038,2018-11-16,Technician
W00145,Devin Lynch,PL002,2016-01-25,Operator
W00146,Dennis Contreras DDS,PL015,2015-09-09,Operator
W00147,Cindy Ross,PL006,2024-01-20,Engineer
W00148,Danielle Hester,PL016,2020-06-07,Supervisor
W00149,Christopher Dominguez,PL043,2024-11-11,Technician
W00150,Mrs. Kristen Long MD,PL023,2022-08-18,Engineer
W00151,Cody Dawson,PL042,2020-08-19,Engineer
W00152,Scott Reynolds,PL011,2025-05-20,Supervisor
W00153,Austin Grant,PL041,2017-11-12,Technician
W00154,Bobby Spencer,PL006,2023-08-19,Supervisor
W00155,Patricia Donovan,PL049,2022-07-01,Operator
W00156,Willie Clark,PL023,2024-04-28,Operator
W00157,Christina Finley,PL040,2017-08-26,Operator
W00158,Terri Harris,PL047,2019-05-07,Supervisor
W00159,Andrew Wilkinson,PL034,2017-07-11,Supervisor
W00160,Stephen Torres,PL025,2022-10-11,Engineer
W00161,Rose Richardson,PL016,2017-11-19,Technician
W00162,Ryan Gonzales,PL048,2021-01-24,Supervisor
W00163,Jose Watkins,PL014,2016-01-29,Supervisor
W00164,Derek Baker,PL031,2016-08-08,Operator
W00165,Tammy Conner,PL030,2024-11-02,Technician
W00166,Linda Harris,PL019,2020-10-26,Supervisor
W00167,Ricardo Castillo,PL037,2016-04-15,Technician
W00168,Jennifer Clay,PL049,2018-11-30,Operator
W00169,Justin Simpson,PL030,2017-12-28,Operator
W00170,Brittany Bishop,PL039,2015-10-05,Engineer
W00171,Cody Bautista,PL050,2023-08-25,Engineer
W00172,Bryan Warner,PL030,2021-05-30,Technician
W00173,Joshua Garrett,PL043,2020-09-09,Technician
W00174,Kevin Thomas,PL013,2023-08-02,Supervisor
W00175,Sarah Hudson,PL018,2018-02-03,Technician
W00176,Deborah Hurley,PL049,2022-05-27,Operator
W00177,Jenny Tran,PL026,2023-10-25,Supervisor
W00178,Tiffany Jenkins,PL005,2016-04-09,Supervisor
W00179,Rachel Jackson,PL008,2023-09-11,Engineer
W00180,Robert Curtis,PL025,2018-04-07,Technician
W00181,John Hodge,PL004,2021-09-29,Supervisor
W00182,Andrew Herring,PL030,2023-04-12,Engineer
W00183,Kelli Price,PL023,2020-05-23,Supervisor
W00184,Jason Smith,PL032,2024-05-21,Technician
W00185,Laura Bartlett,PL048,2024-08-11,Operator
W00186,Kevin Byrd,PL022,2016-10-26,Technician
W00187,Shelby Guzman,PL026,2023-02-23,Supervisor
W00188,Mr. Ronald Woods,PL020,2022-10-05,Operator
W00189,Mark Keller,PL041,2018-10-23,Operator
W00190,Taylor Robinson,PL050,2019-07-26,Engineer
W00191,Kimberly Leon,PL018,2018-02-04,Supervisor
W00192,Andrew Murphy MD,PL019,2017-02-22,Engineer
W00193,John Wheeler,PL018,2017-12-21,Supervisor
W00194,Debra Miller,PL023,2020-06-10,Technician
W00195,Karen Barnes,PL039,2019-05-01,Technician
W00196,Derek Johnson,PL009,2022-07-15,Supervisor
W00197,Ricky Graham,PL012,2023-07-20,Supervisor
W00198,Sylvia Lane,PL037,2018-05-27,Operator
W00199,Christina Carlson,PL030,2016-08-28,Engineer
W00200,Timothy Fischer,PL029,2024-03-17,Operator
W00201,Dr. Andrea Walters,PL048,2023-04-24,Supervisor
W00202,Terry Jackson II,PL048,2017-06-17,Engineer
W00203,Cassandra Tapia,PL015,2020-04-28,Technician
W00204,Jason Campbell,PL018,2024-02-16,Engineer
W00205,Michelle Chambers,PL043,2025-03-10,Engineer
W00206,Veronica Thomas,PL015,2017-05-12,Engineer
W00207,Kelly Hines,PL039,2023-06-30,Operator
W00208,Kenneth Bradford,PL009,2017-06-05,Engineer
W00209,Adam Edwards,PL037,2023-06-05,Supervisor
W00210,Harry Rogers,PL006,2019-11-14,Engineer
W00211,Trevor Parrish,PL047,2022-01-11,Engineer
W00212,Paula Stark,PL021,2021-01-28,Supervisor
W00213,Jeff Gonzalez,PL001,2022-11-27,Supervisor
W00214,Michael Garcia,PL012,2021-10-09,Supervisor
W00215,Tristan Gray,PL038,2016-08-12,Technician
W00216,Cassandra Potter,PL027,2023-10-28,Supervisor
W00217,Audrey James,PL005,2019-08-01,Engineer
W00218,Sandra Shepard,PL015,2020-10-20,Technician
W00219,Henry Burns,PL015,2023-07-18,Supervisor
W00220,Amber Romero,PL039,2025-05-29,Operator
W00221,Andrew Miranda,PL036,2021-08-03,Operator
W00222,Jessica Berry,PL006,2023-07-18,Technician
W00223,Kimberly Hicks,PL029,2015-10-12,Operator
W00224,Jacob Brown,PL027,2021-05-04,Supervisor
W00225,Amber Larson,PL027,2016-06-14,Technician
W00226,Tina Velazquez,PL005,2016-06-11,Operator
W00227,John Mitchell,PL034,2023-11-01,Supervisor
W00228,Denise Gonzalez,PL020,2023-04-10,Technician
W00229,Amber Peters,PL003,2024-10-20,Technician
W00230,Patrick Bradley,PL025,2024-03-29,Operator
W00231,Justin Jackson,PL026,2020-05-01,Operator
W00232,Francisco Young,PL032,2016-03-03,Operator
W00233,Samantha Johnson,PL019,2022-10-31,Operator
W00234,Brooke Velazquez,PL049,2020-02-29,Technician
W00235,Sherry Young,PL025,2016-05-20,Supervisor
W00236,Brandon Nguyen,PL024,2019-01-22,Supervisor
W00237,Sarah Banks,PL008,2015-10-19,Engineer
W00238,Terri Mccoy,PL001,2025-01-10,Supervisor
W00239,Nicholas Robinson,PL042,2022-09-16,Engineer
W00240,Leslie Rowe,PL007,2025-03-04,Technician
W00241,Thomas Calhoun,PL049,2025-05-20,Engineer
W00242,Jacob Johnson,PL018,2024-10-11,Technician
W00243,Philip Gomez,PL048,2023-06-26,Technician
