customerID,name,city,email,phone
C0001,Eric Smith,West Catherinemouth,zacharybranch@example.net,5772613190
C0002,Andrew Simpson,Joneston,aball@example.net,707.819.6264x69940
C0003,Lindsay Rush,Woodshire,erin56@example.net,001-613-525-5758
C0004,Tara Steele,North Monica,christopher22@example.org,001-790-916-9572x70387
C0005,Julie Rodriguez,East Daniel,daniel15@example.net,4177710245
C0006,Denise Hamilton,Wagnerville,michael15@example.net,001-810-804-2600x34014
C0007,Lori Morales,New Zacharyberg,mbrooks@example.net,(290)563-4643x12058
C0008,Carrie Lin,Jacksonmouth,burkekyle@example.org,3495809778
C0009,Tanner Petersen,Robertchester,dustin94@example.org,(308)559-0103x86546
C0010,Casey Zhang,New Joshua,susan63@example.net,7069576083
C0011,Francisco Schmitt,South Melissamouth,jonesbilly@example.net,+1-740-603-3109x15045
C0012,Brenda Stevens,New Erica,josephsloan@example.org,762.285.7877x0747
C0013,Matthew Spencer,New Perrymouth,melissalopez@example.org,(611)368-8125
C0014,Katherine Montgomery,Lake Justinmouth,mariedavis@example.org,779.729.3586
C0015,Philip Chaney,Adamport,xjohnson@example.org,+1-426-548-6772
C0016,Tammy Colon,New Cody,kathryn56@example.org,790.273.9338
C0017,Emily Reyes,West Thomas,hollylewis@example.org,001-897-951-5788x02115
C0018,Meredith Jacobs,South Dakotafurt,johnsonjennifer@example.net,(897)261-8093x8573
C0019,Laura Good,Ramosview,kward@example.com,837.238.1060x360
C0020,Stephen Riley,Robertport,jstout@example.net,001-206-723-1924x348
C0021,James Andersen,New Courtneybury,thomasjacobs@example.com,538.248.1614x22878
C0022,Lori Cook,Beckyport,bowmanemily@example.com,277.335.6561
C0023,Alyssa Miller,Bellbury,ojones@example.com,001-619-968-6397x73262
C0024,Anthony Gilmore,Roytown,carol15@example.com,+1-209-769-1240x676
C0025,Eddie Gonzalez,Port Victor,patricia41@example.net,881-538-4833
C0026,Lisa West,Port Patricia,ortizcarolyn@example.org,552-796-7115
C0027,Daniel Lopez,Lake Sabrinaberg,tiffanysmith@example.org,635-914-7543
C0028,Judy Rogers,Lake Sheila,cruzmichelle@example.com,+1-586-448-0549x320
C0029,Brandon Smith,Port Amandaton,djohnston@example.com,+1-528-371-1075
C0030,Nicholas Garcia,East Julieview,josephcarson@example.org,+1-561-641-1524
C0031,Tina Parker,Howellbury,camposmichael@example.net,255.537.1564x98345
C0032,Ronald Trevino,Victorburgh,ramoschase@example.net,799-412-0372x21349
C0033,Christine Valentine,Lisafurt,smithtammy@example.org,(684)293-3300
C0034,Robert Watson,Josephmouth,stevenmendoza@example.com,+1-844-763-3771x939
C0035,Brett Peck,Torresberg,bstout@example.net,605.675.6369
