customerID,name,city,email,phone
C0001,Tricia Johnson,Port Evanshire,brandon14@example.com,789-826-1935x84180
C0002,Lauren Hall,West Brittany,weaversteven@example.org,001-205-981-2749
C0003,Jacob Berry,Rossfort,beniteznicole@example.net,751.331.6690
C0004,Henry Sweeney,Wolffurt,watkinsjustin@example.org,512-374-3411
C0005,Judith Johnson,Wattsshire,ccarroll@example.org,(472)680-4563x8306
C0006,Andre King,Port Eric,johnhenderson@example.org,001-949-566-6589x5862
C0007,Edward Baker,Port Annfort,stevencunningham@example.org,+1-393-290-0825x05700
C0008,Ms. Catherine Ellis,South Danahaven,zprice@example.com,001-625-820-0944x20218
C0009,Wayne Sandoval,Sextonfort,taylor25@example.com,752.685.6701x8128
C0010,Joseph Clark,Port Jessicashire,yfloyd@example.net,+1-211-775-0571
C0011,Alyssa Burns,Port Josephbury,afisher@example.com,+1-301-751-4255
C0012,Dennis Roy,Williamsmouth,zavalagina@example.org,254.366.8029x05298
C0013,Terry Farmer,West Jacobmouth,dawn25@example.net,862.380.9640
C0014,Sue Murphy,New Jennifershire,victor78@example.com,496-338-6445x715
C0015,Tammy Wilkins,Griffinton,vincent64@example.org,528.505.5188
C0016,Megan Forbes,South Amanda,montesrichard@example.net,640.412.2056x52524
C0017,Christine Simmons,Angelaside,timothyjohnson@example.net,+1-453-271-2704
C0018,Erin Smith,Lake Shannonburgh,jennifer49@example.org,+1-774-978-0413x2998
C0019,Steven Wolfe,New Susanview,campbelljulie@example.org,001-919-892-1774
C0020,Anthony Hall,Grossberg,gregorywalker@example.net,673.704.8673
C0021,Michael Potter,Emilyfurt,stevenrios@example.org,001-809-781-1502x66650
C0022,Nicholas Williams,Port Marieland,matthewjohnson@example.org,(617)741-2938
C0023,Gregory Keller,New Tricia,mcculloughmichelle@example.org,229-832-6527x677
C0024,Derrick Nguyen,Martinezstad,jonathanstone@example.org,756-564-0170x7806
C0025,Brandi Luna,West Michael,markvalentine@example.com,(894)698-5694x011
C0026,Kelly Goodman,Johnsonton,david72@example.org,(917)642-5898x22200
C0027,Amy Jones,Williamsport,tyler17@example.com,877-834-0062
C0028,Jeffrey Ramirez,Lake Juan,tbrowning@example.org,8185157504
C0029,Maria Hines,Harrisfort,elizabethadams@example.net,311-695-7321x49836
C0030,Beth Dunn,Woodardchester,nancy32@example.net,497.391.3300x93487
C0031,Johnny Chavez,Osborneshire,princeamy@example.org,(617)343-4037
C0032,Raymond Warren,West Joelfurt,richmondamanda@example.org,629-227-4688x53335
C0033,Audrey Sellers,Thomasside,calebbrown@example.net,001-221-748-6481x34398
C0034,Stephen Reid MD,Hernandezstad,lisa08@example.com,495.342.9051x47106
C0035,Jennifer Kemp,South Markton,priley@example.net,(497)498-3216x03863
C0036,Mark Gallagher,East Justinhaven,onelson@example.net,826.250.0032x3710
C0037,Timothy Jones,East James,alicia75@example.org,(689)535-0510x672
C0038,Joshua Clements,Chambersville,craiglisa@example.org,001-296-511-3107x43853
C0039,Christine White,Leslieland,hsanchez@example.com,937.487.5493
