employeeID,name,position,hireDate,branchID,email
E0001,Michelle Phillips,Clerk,2016-01-12,B181,thompsonkelly@example.net
E0002,Maria Johns,Advisor,2015-08-30,B091,mmartinez@example.org
E0003,Amanda Robles,Clerk,2022-10-08,B114,hillbenjamin@example.com
E0004,Donna Douglas,Teller,2020-09-02,B130,reynoldsphillip@example.com
E0005,Jesse Parks PhD,Manager,2016-11-09,B075,robertcox@example.org
E0006,Dominique Rivera,Clerk,2018-06-12,B038,hahnlauren@example.com
E0007,Kristopher Moon,Manager,2024-11-29,B122,dclark@example.com
E0008,Taylor Snyder,Advisor,2024-09-05,B021,ghester@example.net
E0009,Tina Hurley,Manager,2024-03-04,B069,williamspamela@example.net
E0010,Amber Ford,Teller,2025-04-06,B060,wrightjoshua@example.net
E0011,Jessica Ortega,Manager,2022-11-01,B192,connielopez@example.org
E0012,Brooke Jones,Advisor,2019-12-17,B186,treynolds@example.net
E0013,Denise Schaefer,Clerk,2021-03-25,B015,nicholas27@example.org
E0014,David Johnson,Clerk,2019-10-02,B043,yhernandez@example.com
E0015,Danielle Rodriguez,Teller,2022-09-29,B116,trice@example.net
E0016,Joseph Massey,Advisor,2024-01-12,B176,jeffevans@example.com
E0017,Wendy Ruiz,Manager,2015-12-05,B019,zimmermanmaria@example.com
E0018,Kristen Stout,Clerk,2025-02-04,B012,hruiz@example.org
E0019,Sonya Coffey,Clerk,2018-04-27,B097,xhardy@example.net
E0020,David Barton,Advisor,2017-01-30,B009,lozanokyle@example.org
E0021,Emily Mitchell,Clerk,2023-10-15,B105,bryangarcia@example.com
E0022,Samantha Nelson,Manager,2017-08-26,B044,kfloyd@example.org
E0023,Samantha Gentry,Advisor,2022-12-08,B118,bryanchoi@example.org
E0024,Regina Parker,Teller,2016-04-04,B109,joshua15@example.com
E0025,Hannah Dunn,Clerk,2015-09-04,B051,olivia29@example.net
E0026,Katie Richards,Clerk,2017-12-10,B146,lorimiller@example.net
E0027,Tammy Bell,Advisor,2024-04-16,B180,ufrederick@example.org
E0028,Dale Hernandez,Teller,2021-06-11,B147,rhayes@example.com
E0029,Stephanie Evans,Clerk,2019-11-18,B111,lekim@example.net
E0030,Victoria Frazier,Teller,2015-07-25,B021,kathrynturner@example.net
E0031,Gerald Williams,Teller,2023-04-28,B064,lisacarey@example.com
E0032,Jessica Henry,Teller,2020-12-31,B018,robert33@example.com
E0033,Jason Howard,Teller,2020-01-07,B142,scottwilliam@example.org
E0034,Sherry Robbins,Teller,2019-07-11,B136,joandouglas@example.org
E0035,Sandra Dunn,Manager,2016-09-20,B030,iharris@example.org
E0036,Christopher Bennett DVM,Clerk,2016-01-03,B151,hfleming@example.net
E0037,Cassandra Rogers,Clerk,2021-01-02,B112,terri91@example.org
E0038,Kristen Harris,Teller,2024-12-12,B097,stoneelizabeth@example.com
E0039,Jennifer Smith,Clerk,2016-06-27,B073,xflores@example.org
E0040,Tanya Hall,Clerk,2020-02-21,B135,jennifervalentine@example.net
E0041,Sergio Bryant,Clerk,2018-10-18,B154,pennywalker@example.com
E0042,Rachael Collins,Clerk,2020-07-22,B128,robertconley@example.org
E0043,Leroy Ramsey,Clerk,2022-09-30,B030,kbeck@example.com
E0044,Mrs. Debra Evans,Manager,2016-10-29,B010,ramirezsavannah@example.net
E0045,Tony Curry,Advisor,2020-08-18,B072,kford@example.com
E0046,Jennifer Owen,Teller,2018-04-25,B031,xlittle@example.org
E0047,Jonathan Lamb,Advisor,2022-06-11,B021,briansimmons@example.com
