supplierID,name,contact,city,email,phone
S0001,Jones-Rich,Alan Sellers,Johnsonborough,xhoffman@example.net,+1-204-255-0781
S0002,Tucker-Collins,Cheyenne Bender,Timothyfurt,vmartin@example.org,+1-356-228-9823x23557
S0003,Phillips-Harrington,Mary Roy,Taylorchester,shanenelson@example.com,(472)585-6005
S0004,Guerrero and Sons,Ashley House,Campbellmouth,shari73@example.net,923.653.0684x62225
S0005,Taylor-Byrd,Bryan Sherman,North Ronaldshire,jeanne12@example.net,001-454-242-7147
S0006,Cannon-Butler,Hunter Schneider,Waltonfurt,mark54@example.net,+1-956-259-8276x21700
S0007,Stephens Group,Lisa Garcia,Blackville,jamieblack@example.com,(644)282-2777x42800
S0008,Thomas LLC,Christopher Edwards DDS,North Johnfort,lisa88@example.org,+1-454-459-6008x573
S0009,Marshall Inc,Paul Collins,East Sarah,brittany14@example.com,(929)691-1098x812
S0010,Nguyen Group,Christina Sanders,Amandafurt,qcampbell@example.org,(941)514-9637
S0011,Phelps LLC,Mr. John Davis,Robinsonstad,katherine41@example.com,+1-901-780-9826x10362
S0012,Owen-Diaz,Sue Chapman,New Jackieport,brookewright@example.org,291-780-2347x50625
S0013,"Davis, Doyle and Parks",Gwendolyn Cain,Lake Steven,gonzalezleslie@example.net,001-737-492-4892x784
S0014,Bentley Inc,Timothy Hudson,North Danielchester,zwilliams@example.com,795.781.7488x5534
S0015,James Ltd,Cole Norman,New Robert,christopherguerra@example.com,219-910-4770x423
S0016,Wright Inc,Thomas Patterson,Marshallmouth,brandon85@example.net,(845)476-5553x269
S0017,"Bishop, Deleon and Bond",Michael Paul,West Jessica,joshuanguyen@example.com,001-371-471-9435x2930
S0018,Li PLC,Walter Joseph,Maryport,gilljamie@example.net,332.229.6823x5217
S0019,"Mendez, Eaton and White",Jessica Simpson,West Lisa,romeromark@example.com,+1-499-515-2867x486
S0020,Rose-Miller,Linda Diaz,Thorntonburgh,jeanstevens@example.com,001-883-205-9918
S0021,Garrett-Hughes,Matthew Hunter,West Gregorytown,williamsjoseph@example.com,754-932-7701x91456
S0022,Romero Group,Carla Reed,New Jose,luis38@example.net,(330)653-7777
S0023,Lowery-Maxwell,Matthew Dominguez,North Randall,rebecca84@example.org,790-239-6454
S0024,Lee-Jones,Katrina Werner,Prattborough,robert77@example.org,+1-570-444-1139x03527
S0025,"Morris, Phillips and Garrett",John Jordan,Anthonybury,jessica72@example.com,(597)852-9841
S0026,King-Ross,Virginia Palmer,Collinborough,megan54@example.org,2995585711
S0027,"Graham, Miller and Salazar",Russell Lee,Lake Kevinmouth,christopher14@example.net,+1-265-979-8264x628
S0028,Ford LLC,Michael Silva,Hillchester,avilakatherine@example.net,+1-782-998-8542x3093
S0029,Brennan-Watts,Madison Buckley,North Leslieside,cynthiashort@example.com,820-223-9088
S0030,Carson PLC,Cynthia Potter,Lake Donna,ewolf@example.net,(535)869-3033x8488
S0031,Mccoy Group,Victoria Raymond,Port Kellybury,tthompson@example.net,510.352.2696
S0032,Schroeder and Sons,Peter Rogers,East Edward,amandascott@example.com,+1-332-564-9639x10789
S0033,Sanders and Sons,Cheryl Contreras,Gomezstad,washingtondebra@example.org,(988)444-5008
S0034,"Barton, Washington and Harris",Jose Williams,Ericstad,fordmichael@example.net,001-386-573-1862x06083
S0035,"Watkins, Allen and Lynch",Susan Wright,Calebtown,ithomas@example.com,+1-790-895-6940
S0036,Rivera-Burke,Michael Butler,South John,rebecca76@example.net,001-434-592-9029x4473
S0037,"Riley, Carpenter and Hawkins",Kristin Vance,Stewartchester,hernandezkevin@example.com,7795577583
