customerID,name,city,email,phone
C0001,Carolyn Quinn,Lake Danielmouth,iarmstrong@example.com,7394673770
C0002,Heather Maldonado,North Hector,qrivas@example.org,001-970-313-5439x51516
C0003,Jessica Hicks,South Jerry,wallacechristopher@example.com,+1-360-709-3600x6943
C0004,Troy Callahan,Ashleyfurt,mary62@example.net,001-423-743-3571x200
C0005,Jamie Cook,Kevinstad,mwatkins@example.org,+1-949-715-3336x07794
C0006,Bryan Brown,New Michelle,amybarr@example.com,7835798807
C0007,Timothy Hughes,Smithburgh,dawn50@example.org,(742)381-5386x5042
C0008,Andrew Williams IV,Delgadomouth,cookdale@example.com,(710)808-6131
C0009,Ryan Hughes,West April,terrence64@example.net,(987)301-6428
C0010,Darlene Kelly,Brendachester,thomasnguyen@example.com,5168451906
C0011,Erin Turner,East Stacey,fwilliams@example.com,001-467-365-5702x4685
C0012,Eric Young,South Melissa,darius61@example.org,999.836.1450x50098
C0013,Wendy Martinez,Stevensfort,mitchellbrenda@example.org,+1-220-991-0075x776
C0014,Rachel Scott,Port Ashleyside,clinton90@example.net,7472146450
C0015,Cody Wilkinson,East Jessicastad,erose@example.org,001-859-456-1014
C0016,Richard Small,East Vanessafort,juanbrady@example.net,001-974-552-9174
C0017,Anne Anderson,Rothfort,johnsonwendy@example.com,001-642-448-9632x4612
C0018,Aaron Wright,Mccoychester,brittanymurphy@example.net,992-700-1242x3339
C0019,David Dixon,Garciafurt,justin42@example.com,(357)972-3197
C0020,Lynn Washington MD,Mahoneyhaven,xsmith@example.org,456.582.3281x59618
C0021,Brett Stephens,West Jaredfurt,andreacampbell@example.net,(526)601-9114x96459
C0022,Scott Gonzalez,Christinemouth,james00@example.com,815.466.5187x04239
C0023,Michele Harris,South Anthonyville,smithmonica@example.org,+1-353-494-0758x28590
C0024,Steven White,Smithborough,jose52@example.com,(600)584-3741x23717
C0025,David Nelson,Holtchester,ijenkins@example.net,001-671-272-3090x413
C0026,Kimberly Johnson,West Amberchester,jmason@example.org,443-478-7602x15034
C0027,Brittany Smith,West Christineport,marie93@example.org,(613)588-0482
C0028,Robert Vincent,Masseymouth,sean42@example.org,(782)519-4690
C0029,Thomas Chaney,Lake Heather,john98@example.com,758.889.1682
C0030,Danny Gibson,Aaronview,aharris@example.com,(432)793-7465x908
C0031,Jacqueline Knight,North Andrewside,jacobjacobson@example.com,860-260-7062
C0032,Natalie Bass,Cherylport,raybrian@example.org,719.949.5063
C0033,Aaron Simpson,East Theresa,jramirez@example.com,(973)497-5398
C0034,Stephen Webb,Jefferyville,nkelly@example.net,001-767-628-9334x75569
C0035,Amber Bell,Jacksonside,jeffreypalmer@example.org,392-731-3267x554
C0036,Erin Burgess,North Margaret,ofisher@example.com,(885)274-0463
C0037,John Sanchez,North Kristine,juliewebster@example.net,376.856.3018
C0038,Andrew Johnston,Williamshaven,wrightruben@example.org,001-465-960-4993x5526
C0039,Jordan Manning DVM,New Carlshire,monicaanderson@example.net,+1-910-880-3025x66003
C0040,Blake Garcia,East Angela,nancycarlson@example.com,001-384-829-5359
C0041,Deanna Gutierrez,West Ariel,weissbenjamin@example.net,(688)549-7773
C0042,Eddie Fernandez,Peterport,wileysusan@example.org,2626790235
C0043,Sarah Rodriguez,Michelleland,harperlisa@example.net,787-659-1971
C0044,Joshua Jones,Ashleeshire,jessica26@example.net,2056080607
C0045,Allison Powers,South Valerie,orobinson@example.com,(253)999-5330
C0046,Shannon Lewis,Cohenshire,blairstacy@example.com,001-398-344-5941x87374
C0047,Joseph Reyes,Lake Cindytown,zmahoney@example.org,(220)216-4891x672
C0048,Christopher Maddox,Lopezfort,bowenmarilyn@example.net,281-908-9423
C0049,Jeffery Bauer,Kimbury,egreene@example.net,+1-434-844-8192x94550
C0050,Jeffrey Johnson,Port Christopher,ashley41@example.net,524-845-0696x55491
C0051,Steven Greene,Aaronton,katherinerivera@example.org,998.274.3957
C0052,Angela Bond,South Williamstad,bdavis@example.org,2667515967
C0053,Dr. Michael Zuniga MD,New Carol,danielle51@example.net,7317468073
C0054,Joshua Mason,Nguyenview,xsantos@example.net,7338976751
C0055,Anne Merritt,Anthonymouth,erikallen@example.net,+1-470-597-2506
C0056,April Foster,New Alice,smithharry@example.com,625-836-4913
C0057,Amanda Gillespie,Port Christopher,ygilbert@example.com,5732074117
C0058,Charles Smith,Dodsonhaven,lowepatrick@example.com,252.767.0993
C0059,Shannon Hale,Port Jose,jose80@example.org,(529)539-3665x9305
C0060,Eric Humphrey,Port Stephanie,erobinson@example.org,340.982.9995x199
C0061,Mark Lyons,Jameston,boylesara@example.org,001-793-360-6261x346
